First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Cameron""";32;"""Aliocha""";8;"""Jefferson""";20;;
"""Rashid""";24;"""Haruki""";6;"""Yannis""";15;;
"""Emirhan""";32;"""Armel""";8;"""Panayotis""";20;;
"""Shane""";24;"""Hristo""";6;"""Abdeljabbar""";14;;
"""Bassam""";31;"""Gzim""";8;"""Eddie""";19;;
"""Yücel""";24;"""Ishan""";6;"""Albin""";14;;
"""Egide""";30;"""Rachad""";8;"""Dusan""";18;;
"""Amos""";23;"""Jean-Bosco""";6;"""Aurian""";14;;
"""Lucio""";30;"""Seppe""";8;"""Hiroshi""";18;;
"""Idriz""";23;"""Loucas""";6;"""Hosni""";14;;
"""Rolando""";30;"""Tamim""";8;"""Keith""";18;;
"""Nasr""";23;"""Manoa""";6;"""Kadri""";14;;
"""Abdelhay""";29;"""Yanni""";8;"""Nusret""";18;;
"""Abdourahamane""";22;"""Nasrallah""";6;"""Nikita""";14;;
"""Ouassim""";28;"""Halim""";7;"""Mevlut""";17;;
"""Agostino""";22;"""Nihat""";6;"""Nunzio""";14;;
"""Sabir""";28;"""Hussain""";7;"""Nathaniel""";17;;
"""Bora""";22;"""Parsa""";6;"""Samvel""";14;;
"""Bashkim""";27;"""Laurens""";7;"""Ulf""";17;;
"""Israel""";22;"""Samba""";6;"""Wilfrid""";14;;
"""Roch""";27;"""Nacer""";7;"""Daouda""";16;;
"""Anoir""";21;"""Wolf""";6;"""Fahrettin""";13;;
"""Téo""";26;"""Tolgahan""";7;"""Ruddy""";16;;
"""Henk""";21;"""Abdelhadi""";5;"""Ingo""";13;;
"""Asif""";25;"""Wacil""";7;"""Volodymyr""";16;;
"""Miklos""";21;"""Ahmadou""";5;"""Kofi""";13;;
"""Biagio""";25;"""Yash""";7;"""Yao""";16;;
"""Sezer""";21;"""Aly""";5;"""Matti""";13;;
"""Harouna""";25;"""Alexandr""";6;"""Amer""";15;;
"""Gavril""";20;"""Cenk""";5;"""Zaïd""";13;;
"""Nima""";25;"""Arya""";6;"""Christof""";15;;
"""Ludovico""";20;"""Diyar""";5;"""Arnauld""";12;;
"""Shaban""";25;"""Barae""";6;"""Francisc""";15;;
"""Placide""";20;"""Endri""";5;"""Boubaker""";12;;
"""Shadi""";25;"""Bashkim""";6;"""Francois""";15;;
"""Martijn""";19;"""Josef""";5;"""Mirel""";12;;
"""Egzon""";24;"""Emircan""";6;"""Mostefa""";15;;
"""Numan""";19;"""Kodjo""";5;"""Outman""";12;;
"""Fred""";24;"""Fausto""";6;"""Ozcan""";15;;
"""Abdenour""";18;"""Mamady""";5;"""Wlodzimierz""";12;;
"""Gilberto""";24;"""Faycal""";6;"""Patrizio""";15;;
"""Durmus""";18;"""Medhy""";5;"""Zoubair""";12;;
"""Nouh""";22;"""Seymen""";6;"""Adamou""";13;;
"""Iker""";18;"""Nail""";5;"""Aubry""";11;;
"""Ousama""";22;"""Shema""";6;"""Alioune""";13;;
"""Imade""";18;"""Nataniel""";5;"""August""";11;;
"""Sina""";22;"""Taym""";6;"""Aytekin""";13;;
"""Taylan""";18;"""Rochdi""";5;"""Gevriye""";11;;
"""Aissam""";20;"""Assem""";5;"""Praveen""";13;;
"""Wilfrid""";18;"""Sahel""";5;"""Houssin""";11;;
"""Hung""";20;"""Chouaib""";5;"""Abdulah""";12;;
"""Amedeo""";17;"""Soheil""";5;"""Kiran""";11;;
"""Abderraouf""";19;"""Frederico""";5;"""Faustino""";12;;
"""Gürkan""";17;"""Wilfried""";5;"""Necmettin""";11;;
"""Gibril""";19;"""Ilyess""";5;"""Kristiaan""";12;;
"""Houssin""";17;"""Yasine""";5;"""Philibert""";11;;
"""Loic""";19;"""Jéremie""";5;"""Mekki""";12;;
"""Naji""";17;;;"""Shaun""";11;;
"""Miles""";19;"""Kaspar""";5;"""Nasr""";12;;
"""Niall""";17;;;"""Sina""";11;;
"""Sokol""";18;"""Robbe""";5;"""Gelu""";11;;
"""Osvaldo""";17;;;"""Soren""";11;;
"""Harutyun""";17;"""Yasar""";5;"""Osvaldo""";11;;
"""Nedim""";16;;;"""Hadj""";10;;
"""Santos""";17;;;"""Yousaf""";11;;
"""Predrag""";16;;;"""Hakob""";10;;
"""Zyad""";17;;;"""Anastase""";10;;
"""Serguei""";16;;;"""Kennedy""";10;;
"""Abderahmane""";16;;;"""Aniss""";10;;
"""Babacar""";15;;;"""Mohcin""";10;;
"""Henning""";16;;;"""Emidio""";10;;
"""Casimir""";15;;;"""Nourddin""";10;;
"""Mika""";16;;;"""Günter""";10;;
"""Celestin""";15;;;"""Nour-Dine""";10;;
"""Radoslav""";16;;;"""Halis""";10;;
"""Eugeen""";15;;;"""Refik""";10;;
"""Costantino""";15;;;"""Pape""";10;;
"""Jean-Pascal""";15;;;"""Ventsislav""";10;;
"""Norddine""";15;;;"""Aymane""";9;;
"""Liévin""";15;;;"""Abderrahime""";9;;
"""Obed""";15;;;"""Aymar""";9;;
"""Matti""";15;;;"""Aitor""";9;;
"""Aïmane""";14;;;"""Ediz""";9;;
"""Alami""";14;;;"""Fanica""";9;;
"""Dzhan""";14;;;"""Jean-Frédéric""";9;;
"""Astrit""";14;;;"""Gerardus""";9;;
"""Gevorg""";14;;;"""Kjell""";9;;
"""Yanick""";14;;;"""Ronaldo""";9;;
"""Iliya""";14;;;"""Lothar""";9;;
"""Kari""";13;;;"""Alexa""";8;;
"""Léonardo""";14;;;"""Mensur""";9;;
"""Louison""";13;;;"""Antoon""";8;;
"""Miraç""";14;;;"""Muhittin""";9;;
"""Sultan""";13;;;"""Erdinç""";8;;
"""Sayed""";13;;;"""Ecevit""";8;;
"""The""";13;;;"""Fatos""";8;;
"""Artin""";12;;;"""Jackson""";8;;
"""Zoubair""";13;;;"""Gratien""";8;;
"""Léonce""";12;;;"""Sadou""";8;;
"""Darko""";12;;;"""Loukas""";8;;
"""Semun""";12;;;"""Zeeshan""";8;;
"""Dietrich""";12;;;"""Madani""";8;;
"""Aurèle""";11;;;"""Bachar""";7;;
"""Eugeniu""";12;;;"""Maximiliano""";8;;
"""Emerson""";11;;;"""Codrut""";7;;
"""Evgeni""";12;;;"""Maxwell""";8;;
"""Hassine""";11;;;"""Fadel""";7;;
"""Ismaila""";12;;;"""Pau""";8;;
"""Herminio""";11;;;"""Faïçal""";7;;
"""Massine""";12;;;"""Sebastijan""";8;;
"""Hubertus""";11;;;"""Fanel""";7;;
"""Rayen""";12;;;"""Wajdi""";8;;
"""Hüsnü""";11;;;"""Farzad""";7;;
"""Razmik""";12;;;"""Waqas""";8;;
"""Ilia""";11;;;"""Fekri""";7;;
"""Rogelio""";12;;;"""Xuan""";8;;
"""Louca""";11;;;"""Hammad""";7;;
"""Thorsten""";12;;;"""Abdelmonim""";7;;
"""Muhittin""";11;;;"""Jad""";7;;
"""Achrafe""";11;;;"""Alpay""";7;;
"""Müslüm""";11;;;"""Jaswinder""";7;;
"""Arafat""";11;;;"""Asghar""";7;;
"""Abderrezak""";10;;;"""Ndue""";7;;
"""Davi""";11;;;"""Bulent""";7;;
"""Abdessamade""";10;;;"""Neal""";7;;
"""Jassim""";11;;;"""Freek""";7;;
"""Bangaly""";10;;;"""Rayan""";7;;
"""Jean-Thomas""";11;;;"""Ganesh""";7;;
"""Fatah""";10;;;"""Thai""";7;;
"""Jeremi""";11;;;"""Garo""";7;;
"""Giordano""";10;;;"""Tomy""";7;;
"""Lohan""";11;;;"""Haitham""";7;;
"""Michaïl""";10;;;"""Alkiviadis""";6;;
"""Mouaad""";11;;;"""Jacinto""";7;;
"""Michée""";10;;;"""Aloïs""";6;;
"""Arash""";10;;;"""Pavlo""";7;;
"""Pau""";10;;;"""Atakan""";6;;
"""Artiom""";10;;;"""Pierpaolo""";7;;
"""Salam""";10;;;"""Boucif""";6;;
"""Bonaventure""";10;;;"""Sadi""";7;;
"""Takahiro""";10;;;"""Costinel""";6;;
"""Carolus""";10;;;"""Seiji""";7;;
"""Timothee""";10;;;"""David-Alexandre""";6;;
"""Daut""";10;;;"""Sidy""";7;;
"""Vitalii""";10;;;"""Drissa""";6;;
"""Deni""";10;;;"""Simao""";7;;
"""Arsene""";9;;;"""Gérôme""";6;;
"""Faical""";10;;;"""Tanveer""";7;;
"""Eldar""";9;;;"""Javid""";6;;
"""Phillip""";10;;;"""Avinash""";6;;
"""Esad""";9;;;"""Jhonatan""";6;;
"""Sunil""";10;;;"""Clemente""";6;;
"""Fermin""";9;;;"""Juan-Carlos""";6;;
"""Tayyar""";10;;;"""Dacian""";6;;
"""Jimi""";9;;;"""Marcellin""";6;;
"""Xin""";10;;;"""Eamon""";6;;
"""Lahcene""";9;;;"""Michaïl""";6;;
"""Adis""";9;;;"""Eusebio""";6;;
"""Libor""";9;;;"""Ming""";6;;
"""Alaric""";9;;;"""Fazli""";6;;
"""Resat""";9;;;"""Payam""";6;;
"""Alois""";9;;;"""Fiorenzo""";6;;
"""Shpetim""";9;;;"""Reginaldo""";6;;
"""Boucif""";9;;;"""Heiko""";6;;
"""Waclaw""";9;;;"""Sheikh""";6;;
"""Cyriaque""";9;;;"""Imade""";6;;
"""Xhelal""";9;;;"""Shunsuke""";6;;
"""Dzhaner""";9;;;"""Jacobo""";6;;
"""Zeeshan""";9;;;"""Takayuki""";6;;
"""Isaias""";9;;;"""Liban""";6;;
"""Drilon""";8;;;"""Alaettin""";5;;
"""Joannis""";9;;;"""Markos""";6;;
"""Feridun""";8;;;"""Armenak""";5;;
"""Kourosh""";9;;;"""Melchior""";6;;
"""Garik""";8;;;"""Aureliano""";5;;
"""Ridwane""";9;;;"""Phuoc""";6;;
"""Gholam""";8;;;"""Baby""";5;;
"""Ulas""";9;;;"""Sergiy""";6;;
"""Glodi""";8;;;"""Bekkay""";5;;
"""Victoriano""";9;;;"""Sharif""";6;;
"""Hamzat""";8;;;"""Boureima""";5;;
"""Abdelbari""";8;;;"""Theofanis""";6;;
"""Mikhaïl""";8;;;"""Fidele""";5;;
"""Abul""";8;;;"""Ulisses""";6;;
"""Modesto""";8;;;"""Fortune""";5;;
"""Almamy""";8;;;"""Wasim""";6;;
"""Qi""";8;;;"""Houtman""";5;;
"""Ayham""";8;;;"""Abdelbasset""";5;;
"""Rinaldo""";8;;;"""Ibryam""";5;;
"""Baltasar""";8;;;"""Abdelkbir""";5;;
"""Sayfeddine""";8;;;"""Jannick""";5;;
"""Béchir""";8;;;"""Abdeluahid""";5;;
"""Sheikh""";8;;;"""Joäo""";5;;
"""Boudjemaa""";8;;;"""Abdesslem""";5;;
"""Sory""";8;;;"""Justo""";5;;
"""Elmehdi""";8;;;"""Alidor""";5;;
"""Sulejman""";8;;;"""Kabamba""";5;;
"""Françis""";8;;;"""Aslam""";5;;
"""Tomislav""";8;;;"""Kent""";5;;
"""Gediminas""";8;;;"""Ayao""";5;;
"""Wadih""";8;;;"""Laarbi""";5;;
"""Greg""";8;;;"""Binyamin""";5;;
"""Ylli""";8;;;"""Lavdim""";5;;
"""Hossin""";8;;;"""Bright""";5;;
"""Abdesselem""";7;;;"""Maqsood""";5;;
"""Jean-Dominique""";8;;;"""Ciaran""";5;;
"""Ahsan""";7;;;"""Maximo""";5;;
"""Lionnel""";8;;;"""Elin""";5;;
"""Beny""";7;;;"""Ninos""";5;;
"""Mallory""";8;;;"""Ezzeddine""";5;;
"""Bera""";7;;;"""Noman""";5;;
"""Mandeep""";8;;;"""Falah""";5;;
"""Bledar""";7;;;"""Oganes""";5;;
"""Norredine""";8;;;"""Hassene""";5;;
"""Ganesh""";7;;;"""Roque""";5;;
"""Orson""";8;;;"""Hideo""";5;;
"""Heiko""";7;;;"""Sergo""";5;;
"""Pieterjan""";8;;;"""Houdaifa""";5;;
"""Hyun""";7;;;"""Shin""";5;;
"""Rama""";8;;;"""Husein""";5;;
"""Jaume""";7;;;"""Stanimir""";5;;
"""Selyan""";8;;;"""Jean-Bruno""";5;;
"""Klaudiusz""";7;;;"""Toufic""";5;;
"""Yaacoub""";8;;;"""Lasse""";5;;
"""Marsel""";7;;;"""Xhevair""";5;;
"""Yuzdzhan""";8;;;"""Lhoussain""";5;;
"""Merveille""";7;;;"""Yun""";5;;
"""Abhishek""";7;;;"""Masahiko""";5;;
"""Olav""";7;;;;;;
"""Bilale""";7;;;"""Nouradin""";5;;
"""Olli""";7;;;;;;
"""Da""";7;;;"""Pjeter""";5;;
"""Oreste""";7;;;;;;
"""Gyursel""";7;;;"""Samad""";5;;
"""Salaheddin""";7;;;;;;
"""Lesley""";7;;;"""Veton""";5;;
"""Tayron""";7;;;;;;
"""Lutz""";7;;;"""Wahab""";5;;
"""Themistoklis""";7;;;;;;
"""Manassé""";7;;;"""Wladimir""";5;;
"""Yvo""";7;;;;;;
"""Mattheo""";7;;;"""Yasuhiro""";5;;
"""Abdel-Hakim""";6;;;;;;
"""Médard""";7;;;"""Yoshinori""";5;;
"""Abdelnasser""";6;;;;;;
"""Paul-Emmanuel""";7;;;;;;
"""Adão""";6;;;;;;
"""Soheil""";7;;;;;;
"""Arkan""";6;;;;;;
"""Valério""";7;;;;;;
"""Balint""";6;;;;;;
"""Abdulaziz""";6;;;;;;
"""Bekkay""";6;;;;;;
"""Blessing""";6;;;;;;
"""Chaim""";6;;;;;;
"""Brahima""";6;;;;;;
"""Claver""";6;;;;;;
"""Cédrick""";6;;;;;;
"""Colas""";6;;;;;;
"""Desmond""";6;;;;;;
"""Danila""";6;;;;;;
"""Diarmuid""";6;;;;;;
"""Fadl""";6;;;;;;
"""Ergyun""";6;;;;;;
"""Fortune""";6;;;;;;
"""Ervis""";6;;;;;;
"""Kotaro""";6;;;;;;
"""Faraz""";6;;;;;;
"""Krzystof""";6;;;;;;
"""Haseeb""";6;;;;;;
"""Lavdim""";6;;;;;;
"""Hilario""";6;;;;;;
"""Lhoussine""";6;;;;;;
"""Jean-Bruno""";6;;;;;;
"""Lounès""";6;;;;;;
"""Kiyan""";6;;;;;;
"""Mevludin""";6;;;;;;
"""Krikor""";6;;;;;;
"""Nurullah""";6;;;;;;
"""Mano""";6;;;;;;
"""Odysseas""";6;;;;;;
"""Mortimer""";6;;;;;;
"""Özer""";6;;;;;;
"""Münir""";6;;;;;;
"""Parviz""";6;;;;;;
"""Nistor""";6;;;;;;
"""Patou""";6;;;;;;
"""Paolino""";6;;;;;;
"""Raven""";6;;;;;;
"""Puiu""";6;;;;;;
"""Sabeur""";6;;;;;;
"""Ran""";6;;;;;;
"""Serhiy""";6;;;;;;
"""Seydouba""";6;;;;;;
"""Seymen""";6;;;;;;
"""Tomoyuki""";6;;;;;;
"""Tobia""";6;;;;;;
"""Ulisses""";6;;;;;;
"""Toshio""";6;;;;;;
"""Abderachid""";5;;;;;;
"""Zarif""";6;;;;;;
"""Abdol""";5;;;;;;
"""Aadel""";5;;;;;;
"""Allel""";5;;;;;;
"""Aïmen""";5;;;;;;
"""Armands""";5;;;;;;
"""Alie""";5;;;;;;
"""Berdan""";5;;;;;;
"""Anne""";5;;;;;;
"""Calixte""";5;;;;;;
"""Bilan""";5;;;;;;
"""Cian""";5;;;;;;
"""Borivoje""";5;;;;;;
"""Dobromir""";5;;;;;;
"""Boujamaâ""";5;;;;;;
"""Giampaolo""";5;;;;;;
"""Bozhidar""";5;;;;;;
"""Hernando""";5;;;;;;
"""Cleiton""";5;;;;;;
"""Hilel""";5;;;;;;
"""Dayan""";5;;;;;;
"""Hossine""";5;;;;;;
"""Dorinel""";5;;;;;;
"""Jarkko""";5;;;;;;
"""Ebubekir""";5;;;;;;
"""Jouko""";5;;;;;;
"""El-Hassan""";5;;;;;;
"""Alvin""";24;"""Chady""";6;"""Janis""";15;;
"""Eliakim""";5;;;;;;
"""Kenji""";24;"""Gedeon""";6;"""Senad""";15;;
"""Evagelos""";5;;;;;;
"""Rumen""";24;"""Honoré""";6;"""Ziya""";15;;
"""Fotis""";5;;;;;;
"""Rob""";23;"""Maximo""";6;"""Lhassan""";14;;
"""Imdat""";5;;;;;;
"""Rolf""";23;"""Mazlum""";6;"""Louis-Philippe""";14;;
"""Imtiaz""";5;;;;;;
"""Wassil""";23;"""Mounsef""";6;"""Nagib""";14;;
"""Jong""";5;;;;;;
"""Hossam""";22;"""Saikou""";6;"""Vasil""";14;;
"""Korab""";5;;;;;;
"""Mats""";22;"""Sékou""";6;"""Zahid""";14;;
"""Lahsan""";5;;;;;;
"""Demir""";21;"""Zülfikar""";6;"""Hayati""";13;;
"""Lévi""";5;;;;;;
"""Günter""";19;"""Ionatan""";5;"""Latif""";12;;
"""Maximiliaan""";5;;;;;;
"""Hayk""";19;"""Ismaêl""";5;"""Leslie""";12;;
"""Nicolo'""";5;;;;;;
"""Samih""";19;"""Lander""";5;"""Ruzhdi""";12;;
"""Ove""";5;;;;;;
"""Sabit""";18;"""Raed""";5;"""Farhad""";11;;
"""Özay""";5;;;;;;
"""Vasyl""";18;"""Ryota""";5;"""Hanna""";11;;
"""Pascalis""";5;;;;;;
"""Alkan""";17;"""Silviu""";5;"""Kassem""";11;;
"""Riyadh""";5;;;;;;
"""Christo""";17;"""Ted""";5;"""Mehmood""";11;;
"""Samuil""";5;;;;;;
"""Israël""";17;"""Yussuf""";5;"""Pierre-André""";11;;
"""Sanjeev""";5;;;;;;
"""Juliano""";17;"""Ziggy""";5;"""Rajesh""";11;;
"""Sileye""";5;;;;;;
"""Veaceslav""";17;;;"""Abdesamad""";10;;
"""Taufik""";5;;;;;;
"""Zinedine""";17;;;"""Americo""";10;;
"""Yekta""";5;;;;;;
"""Alistair""";16;;;"""Assane""";10;;
"""Yeton""";5;;;;;;
"""Gagik""";16;;;"""Edin""";10;;
"""Khosrow""";5;;;;;;
"""Mezian""";16;;;"""Gunter""";10;;
"""Leni""";5;;;;;;
"""Redwane""";16;;;"""Hisham""";10;;
"""Melkon""";5;;;;;;
"""Alioune""";15;;;"""Mbarek""";10;;
"""Mossaab""";5;;;;;;
"""Hakob""";15;;;"""Sohaïb""";10;;
"""Nedzhatin""";5;;;;;;
"""Ingo""";15;;;"""Takeshi""";10;;
"""Nouradin""";5;;;;;;
"""Melchior""";15;;;"""Akif""";9;;
"""Oury""";5;;;;;;
"""My""";15;;;"""Anselmo""";9;;
"""Prudencio""";5;;;;;;
"""Nessim""";15;;;"""Artour""";9;;
"""Rahal""";5;;;;;;
"""Nikolai""";15;;;"""Atef""";9;;
"""Rex""";5;;;;;;
"""Seydou""";15;;;"""Bojan""";9;;
"""Seán""";5;;;;;;
"""Abdelâli""";14;;;"""Dietrich""";9;;
"""Selmen""";5;;;;;;
"""Abdelmoula""";14;;;"""Dinu""";9;;
"""Sotiris""";5;;;;;;
"""Avram""";14;;;"""Glen""";9;;
"""Yadigar""";5;;;;;;
"""Essam""";14;;;"""José-Antonio""";9;;
"""Yagouba""";5;;;;;;
"""Iason""";14;;;"""Libor""";9;;
"""Yumer""";5;;;;;;
"""Lee""";14;;;"""Marlon""";9;;
"""Mohammed""";4528;"""Bilal""";931;"""Mohammed""";3456;"""Robert""";1278
"""Sanjay""";14;;;"""Ragip""";9;;
"""Olivier""";3563;"""Gabriel""";828;"""Pierre""";2867;"""Georges""";950
"""Baskim""";13;;;"""Sten""";9;;
"""Serge""";1611;"""Martin""";383;"""Cédric""";1127;"""Abdelkader""";212
"""Costa""";13;;;"""Theophile""";9;;
"""Michaël""";1471;"""Théo""";329;"""Manuel""";862;"""Edmond""";166
"""Dániel""";13;;;"""Titus""";9;;
"""Khalid""";1166;"""Mathieu""";256;"""Luis""";708;"""Abdellah""";106
"""Florinel""";13;;;"""Xin""";9;;
"""Nathan""";950;"""Tom""";201;"""Driss""";583;"""Alexandre""";77
"""Martino""";13;;;"""Atanasios""";8;;
"""Nabil""";806;"""Samy""";169;"""Lionel""";517;"""Simon""";66
"""Yury""";13;;;"""Giovani""";8;;
"""Romain""";749;"""Daoud""";159;"""Richard""";497;"""Didier""";60
"""Abdesamad""";12;;;"""Gwennaël""";8;;
"""Fabrice""";704;"""Samir""";147;"""Andrzej""";446;"""Willem""";55
"""Gürbüz""";12;;;"""Niccolo""";8;;
"""Alexander""";642;"""Christian""";142;"""Stefan""";431;"""Lahcen""";51
"""Odon""";12;;;"""Toru""";8;;
"""Gregory""";571;"""Bruno""";129;"""Abderrahim""";369;"""Angel""";40
"""Rafiq""";12;;;"""Vitaliy""";8;;
"""Hubert""";453;"""Alexandru""";108;"""Steven""";291;"""Christos""";29
"""Zouhaïr""";12;;;"""Ajay""";7;;
"""Jeremy""";410;"""Ibrahima""";99;"""Bart""";269;"""Joël""";26
"""Arjan""";11;;;"""Ashley""";7;;
"""Steve""";372;"""Lionel""";91;"""Abderrahman""";237;"""Ben""";23
"""Austin""";11;;;"""Baljit""";7;;
"""Thibaut""";334;"""Léopold""";85;"""Tanguy""";210;"""Pasquale""";20
"""Boudewijn""";11;;;"""Bilall""";7;;
"""Julian""";312;"""Milan""";82;"""Alexandru""";199;"""Alexander""";18
"""Cyprian""";11;;;"""Bonaventure""";7;;
"""Andrea""";310;"""Ricardo""";82;"""Abdessamad""";198;"""Enrique""";18
"""Emidio""";11;;;"""Collins""";7;;
"""Marcin""";306;"""Emanuel""";78;"""Anouar""";192;"""Nestor""";18
"""Feliciano""";11;;;"""Dionisio""";7;;
"""Max""";292;"""José""";74;"""Andrew""";181;"""Aissa""";16
"""Geraldo""";11;;;"""Eldar""";7;;
"""Kadir""";261;"""Nelson""";64;"""Abdoulaye""";160;"""Joaquin""";14
"""Isac""";11;;;"""Florencio""";7;;
"""Ernest""";210;"""Ousmane""";53;"""Bayram""";128;"""Enrico""";11
"""Jillali""";11;;;"""Genc""";7;;
"""Ömer""";210;"""Redouan""";53;"""Timothy""";127;"""Gaëtan""";11
"""Kürsat""";11;;;"""Gor""";7;;
"""Logan""";169;"""Zaid""";41;"""Vitor""";100;"""Abdülkadir""";8
"""Vinicius""";11;;;"""Mehrdad""";7;;
"""Moustapha""";159;"""Bradley""";38;"""Edwin""";94;"""Ivo""";8
"""Zakariaa""";11;;;"""Mohan""";7;;
"""Gérald""";139;"""Jordy""";34;"""Ilie""";82;"""Ioan""";7
"""Arshad""";10;;;"""Pierino""";7;;
"""Pavel""";115;"""Omer""";29;"""Arkadiusz""";66;"""Hulusi""";6
"""Enoch""";10;;;"""Sulaiman""";7;;
"""Nawfal""";112;"""Marin""";28;"""Enver""";64;"""Michaël""";6
"""Fathallah""";10;;;"""Tijs""";7;;
"""Charlie""";110;"""Vincenzo""";28;"""Wolfgang""";64;"""Noureddine""";6
"""Gyuner""";10;;;"""Valmir""";7;;
"""Petrus""";107;"""Anil""";26;"""Ugur""";62;"""Abdelali""";5
"""Icham""";10;;;"""Yuzdzhan""";7;;
"""Stijn""";106;"""Jayden""";26;"""Felipe""";61;"""Abdelkhalek""";5
"""Iliès""";10;;;"""Zef""";7;;
"""Aimé""";105;"""Julius""";26;"""Gaston""";61;"""Abdelouahid""";5
"""Ilmi""";10;;;"""Zekeriya""";7;;
"""Dominik""";96;"""Christos""";24;"""Yunus""";57;"""Eusebio""";5
"""Lyes""";10;;;"""Albertino""";6;;
"""Mohamed-Amine""";95;"""Samed""";24;"""Hichem""";56;"""Gustavus""";5
"""Mojtaba""";10;;;"""Amani""";6;;
"""Radoslaw""";94;"""Zachary""";24;"""Abdeljalil""";55;"""Houcine""";5
"""Mürsel""";10;;;"""Anatoly""";6;;
"""Aissa""";93;"""Abou""";23;"""Kazimierz""";55;"""Igor""";5
"""Mykola""";10;;;"""Andrii""";6;;
"""Christoph""";87;"""Mahmoud""";22;"""Antoni""";52;"""Selim""";5
"""Oswaldo""";10;;;"""Arvind""";6;;
"""Antoni""";84;"""Tao""";22;"""Remy""";52;;
"""Peng""";10;;;"""Augustine""";6;;
"""Cengiz""";84;"""Zain""";22;"""Thanh""";52;;
"""Simão""";10;;;"""Cedrick""";6;;
"""Bram""";82;"""Jihad""";21;"""Gustavo""";51;;
"""Yussef""";10;;;"""Eoghan""";6;;
"""Germain""";78;"""Matisse""";20;"""Yahia""";49;;
"""Helio""";9;;;"""Laurentino""";6;;
"""Cosmin""";77;"""Tunahan""";20;"""Ireneusz""";48;;
"""Masayuki""";9;;;"""Moris""";6;;
"""Arben""";73;"""Abdeslam""";18;"""Zeki""";46;;
"""Mountassir""";9;;;"""Nejib""";6;;
"""Yakup""";71;"""Nikolas""";18;"""Giancarlo""";44;;
"""Rino""";9;;;"""Phuong""";6;;
"""Muhammet""";69;"""Ariel""";17;"""Samba""";43;;
"""Tijl""";9;;;"""Sang""";6;;
"""Suleyman""";69;"""Camille""";17;"""Abdelatif""";42;;
"""Abdelmonim""";8;;;"""Thierri""";6;;
"""Neil""";69;"""Ayyoub""";17;"""Singh""";43;;
"""Aleandro""";8;;;"""Vincente""";6;;
"""Chadi""";68;"""Daniele""";17;"""Dominik""";42;;
"""Atanasios""";8;;;"""Zlatko""";6;;
"""Idris""";68;"""Ensar""";17;"""Gian""";42;;
"""Frédérique""";8;;;"""Atman""";5;;
"""Safwane""";67;"""Réda""";17;"""Cemal""";41;;
"""Hedwig""";8;;;"""Boyan""";5;;
"""Hammadi""";64;"""Flavius""";16;"""Emrah""";40;;
"""Jed""";8;;;"""Clarence""";5;;
"""Dieudonné""";62;"""Stephane""";16;"""Faruk""";39;;
"""Justus""";8;;;"""Cyriel""";5;;
"""Zoltan""";62;"""Balthazar""";15;"""Vasileios""";39;;
"""Kostas""";8;;;"""Dorinel""";5;;
"""Andre""";59;"""Natanael""";15;"""Abderrazzak""";36;;
"""Mouldi""";8;;;"""Gigel""";5;;
"""Younès""";57;"""Georgi""";14;"""Gerardo""";34;;
"""Nouaman""";8;;;"""Haxhi""";5;;
"""Gian""";55;"""Rafal""";14;"""Akim""";33;;
"""Phuoc""";8;;;"""Hossin""";5;;
"""Ihsan""";55;"""Rodolphe""";14;"""Ersin""";33;;
"""Shakeel""";8;;;"""Jernej""";5;;
"""Duc""";53;"""Bora""";13;"""Halit""";32;;
"""Abdelhanin""";7;;;"""Majd""";5;;
"""Lamine""";52;"""Karel""";13;"""Frédérick""";31;;
"""Abdelwaheb""";7;;;"""Mama""";5;;
"""Abdessalam""";50;"""Valerio""";13;"""Adolfo""";30;;
"""Ansar""";7;;;"""Moh'd""";5;;
"""Lahoucine""";50;"""Ange""";12;"""Erdogan""";30;;
"""Elefterios""";7;;;"""Raimundo""";5;;
"""Danilo""";49;"""Dragos""";12;"""Özcan""";30;;
"""Héritier""";7;;;"""Severino""";5;;
"""Mauricio""";49;"""Fineas""";12;"""Anders""";29;;
"""Hermes""";7;;;"""Seydouba""";5;;
"""Natan""";46;"""Aldo""";11;"""Alper""";27;;
"""Iftikhar""";7;;;"""Shinya""";5;;
"""Jérome""";44;"""Franklin""";11;"""Esat""";26;;
"""Khamis""";7;;;"""Tonton""";5;;
"""Saban""";42;"""Sina""";11;"""Joan""";25;;
"""Lasha""";7;;;"""Valério""";5;;
"""Nasreddine""";41;"""Aristote""";10;"""Ward""";25;;
"""Lounes""";7;;;"""Vinicius""";5;;
"""Abdeslem""";39;"""Isidore""";10;"""Nasreddine""";24;;
"""Masato""";7;;;"""Yago""";5;;
"""Yousri""";39;"""Markus""";10;"""Bo""";23;;
"""Moâd""";7;;;"""Zlatan""";5;;
"""Zafer""";39;"""Martim""";10;"""Dino""";23;;
"""Nayel""";7;;;;;;
"""Dominic""";38;"""Nasr""";10;"""Henrik""";23;;
"""Ömür""";7;;;;;;
"""Agustin""";36;"""Yoan""";10;"""Donatien""";22;;
"""Panayiotis""";7;;;;;;
"""Joe""";36;"""Agron""";9;"""Kai""";22;;
"""Qiang""";7;;;;;;
"""Imed""";35;"""Elouan""";9;"""Djibril""";21;;
"""Sosthène""";7;;;;;;
