First name;Number;First name (< 18);Number of carriers (< 18);First name (18-64);Number of carriers (18-64);First name (65+);Number of carriers (65+)
"""Remi""";78;"""Rares""";20;"""Dimitar""";48;;
"""Antonios""";73;"""Tommy""";19;"""Noé""";46;;
"""Rocco""";72;"""Fabrizio""";18;"""Naïm""";45;;
"""Thanh""";70;"""Abdelhamid""";17;"""Avni""";43;;
"""Zenel""";7;;;;;;
"""Alexandar""";6;;;;;;
"""Arnault""";6;;;;;;
"""Darragh""";6;;;;;;
"""Eduardus""";6;;;;;;
"""Flemming""";6;;;;;;
"""Hidayet""";6;;;;;;
"""Hovanes""";6;;;;;;
"""Kole""";6;;;;;;
"""Lakbir""";6;;;;;;
"""Ovidio""";6;;;;;;
"""Qaiser""";6;;;;;;
"""Sohrab""";6;;;;;;
"""Sufyan""";6;;;;;;
"""Zayed""";6;;;;;;
"""Abdeljabar""";5;;;;;;
"""Abdelouadoud""";5;;;;;;
"""Abrar""";5;;;;;;
"""Anatol""";5;;;;;;
"""Angus""";5;;;;;;
"""Azim""";5;;;;;;
"""Charles-Elie""";5;;;;;;
"""Dmitrii""";5;;;;;;
"""Dzheyhan""";5;;;;;;
"""Ephrem""";5;;;;;;
"""Francesc""";5;;;;;;
"""Gheorghe-Florin""";5;;;;;;
"""Hirwa""";5;;;;;;
"""Inaki""";5;;;;;;
"""Ismaïn""";5;;;;;;
"""Jaakko""";5;;;;;;
"""Jean-Gabriel""";5;;;;;;
"""Jilani""";5;;;;;;
"""Jorma""";5;;;;;;
"""Kabir""";5;;;;;;
"""Manfredo""";5;;;;;;
"""Marien""";5;;;;;;
"""Martyn""";5;;;;;;
"""Mihály""";5;;;;;;
"""Minoru""";5;;;;;;
"""Nouraddine""";5;;;;;;
"""Pasqualino""";5;;;;;;
"""Pierre-Henry""";5;;;;;;
"""Simplice""";5;;;;;;
"""Thuan""";5;;;;;;
"""Yonathan""";5;;;;;;
"""Zackary""";5;;;;;;
"""Lahbib""";67;"""Nouh""";17;"""Bouchaib""";41;;
"""Emin""";66;"""Youcef""";17;"""Ihsan""";41;;
"""Berat""";63;"""Mikaïl""";16;"""Otmane""";40;;
"""Umberto""";60;"""Minh""";15;"""Tawfik""";37;;
"""Mikael""";59;"""Yavuz""";15;"""Adama""";35;;
"""Dorin""";57;"""Douglas""";14;"""Rony""";35;;
"""Romuald""";53;"""Gaetano""";13;"""Ralf""";32;;
"""Riad""";52;"""Matthéo""";13;"""Marcello""";31;;
"""Fathi""";50;"""Abd""";12;"""Beniamin""";30;;
"""Merlin""";50;"""Arthus""";12;"""Hichame""";30;;
"""Iyad""";49;"""Engin""";12;"""Vadim""";30;;
"""Berkay""";47;"""Mika""";12;"""Santo""";29;;
"""Guiseppe""";46;"""Zouhir""";12;"""Wesley""";28;;
"""Monir""";46;"""Alassane""";11;"""Alexei""";27;;
